code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank
498,MDA,Moldova,3.552,-0.059329244,123.5587139,17.56228027,32870,4944.335661,74.2,51.97,112
496,MNG,Mongolia,3.027398,1.682874029,1.948684312,34.39428811,1553560,11361.00642,64.2,57.51,83
499,MNE,Montenegro,0.622781,0.099924503,46.30342007,9.793141792,13450,15724.8564,67.3,61.33,65
504,MAR,Morocco,35.276786,1.351228522,79.04276496,260.949,446300,7397.187488,66.7,63.47,54
508,MOZ,Mozambique,28.829476,2.881207724,36.6609985,32.52770083,786380,1128.279294,49.2,46.37,135
104,MMR,Myanmar,52.885223,0.914735351,80.9781696,280.559,653080,5305.054684,59.5,45.32,138
516,NAM,Namibia,2.479713,2.207998983,3.01195569,24.43021954,823290,9852.035111,59.3,58.46,79
524,NPL,Nepal,28.982771,1.132886385,202.1818696,66.59233737,143350,2297.652539,61.6,31.44,176
528,NLD,Netherlands,17.018408,0.4622438,505.1471653,805.017,33690,47302.72068,79.9,75.46,18
554,NZL,New Zealand,4.6927,2.088702607,17.82195891,165.518,263310,35271.37895,77.6,75.96,17
558,NIC,Nicaragua,6.149928,1.110103051,51.10460362,31.59120583,120340,5136.841574,63.1,55.04,97
562,NER,Niger,20.672987,3.826066467,16.32034973,18.90476514,1266700,914.4670358,44.8,35.74,172
566,NGA,Nigeria,185.98964,2.619033526,204.2114255,1010.8,910770,5434.71131,48.6,54.76,100
578,NOR,Norway,5.232929,0.850589917,14.32717491,335.844,365245,64178.97128,83.9,77.49,14
512,OMN,Oman,4.424762,5.217720553,14.29648465,3.756071553,309500,848.8753864,64.3,51.32,116
586,PAK,Pakistan,193.203476,1.998562594,250.6271741,937.932,770880,4854.633154,55.6,37.5,169
591,PAN,Panama,4.034119,1.621103031,54.26579231,86.06768552,74340,21334.93968,63.9,62.71,56
598,PNG,Papua New Guinea,8.084991,2.064027023,17.85317979,31.35592138,452860,3878.287729,,39.35,164
600,PRY,Paraguay,6.725308,1.289844973,16.92753083,59.66275979,397300,8871.37954,66.1,53.93,105
604,PER,Peru,31.773839,1.257862325,24.82331172,383.561,1280000,12071.59764,66,61.92,64
608,PHL,Philippines,103.320222,1.564497131,346.5144783,747.673,298170,7236.463352,64.3,57.65,82
616,POL,Poland,37.948016,-0.101129367,123.9361704,988.583,306190,26050.97985,75.8,64.11,50
620,PRT,Portugal,10.324611,-0.323604271,112.7079417,279.847,91605,27104.84686,75.6,71.91,26
634,QAT,Qatar,2.569804,3.495069918,221.3440138,303.769,11610,118207.0695,63.1,67.8,32
178,COG,Republic of Congo,5.125821,2.57235739,15.00972474,27.17400664,341500,5301.395941,50.9,42.39,157
642,ROU,Romania,19.705301,-0.557581505,85.64543202,425.792,230080,21607.99269,74.1,64.78,45
643,RUS,Russia,144.342396,0.170244546,8.813796287,3581.3,16376870,24811.14419,68.9,63.79,52
646,RWA,Rwanda,11.917508,2.445904867,483.0769355,21.13868558,24670,1773.750484,55,43.68,148
678,STP,São Tomé and Príncipe,0.19991,2.203582284,208.2395833,0.600108631,960,3001.894005,,54.01,104
662,LCA,Saint Lucia,0.178015,0.455491876,291.8278689,2.138049426,610,12010.50151,,56.18,91
670,VCT,Saint Vincent and the Grenadines,0.109643,0.171612745,281.1358974,1.164779859,390,10623.38552,,66.48,36
882,WSM,Samoa,0.195125,0.702526007,68.94876325,1.154024137,2830,5914.281291,,54.5,102
682,SAU,Saudi Arabia,32.275687,2.251422474,15.01411227,1628.57,2149690,50458.10489,62.7,57.47,86
686,SEN,Senegal,15.411614,2.860609064,80.04785748,36.67118441,192530,2379.451264,56.2,49.52,126
688,SRB,Serbia,7.057412,-0.536587877,80.69302538,96.84578427,87460,13722.56349,73.6,57.49,84
690,SYC,Seychelles,0.094677,1.33763478,205.8195652,2.491818981,460,26319.15862,,66.02,39
694,SLE,Sierra Leone,7.39619,2.175479241,102.4686894,10.12412009,72180,1368.829098,47.1,42.54,155
702,SGP,Singapore,5.607283,1.297436099,7908.720733,456.676,709,81443.36571,69,64.23,49
703,SVK,Slovakia,5.428704,0.090357025,112.8957285,158.647,48086,29223.73369,76.9,70.6,28
705,SVN,Slovenia,2.064845,0.063656995,102.524578,61.80678355,20140,29932.89256,80.5,67.57,34
